,ID3ROG3,Latitude,Longitude
540,11437AU,47.76306,16.48888
541,11458AU,48.78793,14.97315
542,19007AU,48.11967,16.22499
543,11659AU,48.22299894,16.34183696
544,11157AU,48.19620735,16.37365934
545,15175AU,48.059124,16.285239
546,11234AU,47.5032187,9.7303989
547,11765AU,48.132752,16.162661
548,11871AU,47.485091,9.739699
549,11870AU,47.32811,9.67848
550,11942AU,48.16699885,16.31540019
551,12051AU,48.18547259,16.40412483
552,12155AU,48.015203,16.923951
553,12273AU,47.81306872,13.01674305
554,12346AU,47.45471,13.34932
555,12877AU,48.20219238,16.34289805
556,13055AU,47.23506739,9.583939074
557,13186AU,46.466159,14.536156
558,14371AU,48.17689704,16.34776143
559,14431AU,48.26800505,16.39458031
560,10492AU,47.81682,13.25656
561,14202AU,47.99769,14.90428
562,14571AU,48.190725,16.37958
563,14598AU,47.81395406,13.01650015
564,14864AU,46.600426,14.305916
565,14962AU,48.16259,16.467101
566,14964AU,46.5835,13.99538
567,15001AU,48.518678,13.92331
568,19211AU,48.263024,16.518863
569,15077AU,48.17362464,16.37789098
570,15148AU,48.18366192,16.36051788
571,18274AU,48.16779713,16.32772772
572,12700AU,48.140034,16.364101
573,15843AU,47.218,9.963
574,19631AU,48.092827,12.970663
575,10429AJ,39.94044,46.62271
576,10464AJ,38.725271,48.563787
577,10495AJ,41.73803,46.57754
578,10528AJ,40.2128,47.68707
579,18859AJ,39.8703397,48.07977935
580,11065AJ,40.36916448,49.84224008
581,11140AJ,40.463635,49.979124
582,10980AJ,41.24139,48.33895
583,11317AJ,41.69529919,48.48840324
584,11505AJ,41.76294623,48.57789103
585,19007AJ,40.39880754,49.81226449
586,11865AJ,41.36546,46.82747
587,11871AJ,40.37826,49.858521
588,14885AJ,40.264563,48.866832
589,12230AJ,41.36546,46.82747
590,10839AJ,41.37913,48.48932
591,12599AJ,40.40801444,49.84026537
592,12660AJ,41.17913,48.05821
593,11255AJ,41.17885,48.18208
594,12877AJ,39.82436,46.16556
595,12952AJ,41.36327916,48.52797087
596,13049AJ,41.47999,48.34479
597,13775AJ,40.404538,49.843834
598,13809AJ,40.38971563,49.82113673
599,13896AJ,41.09124,48.75129
600,14229AJ,41.13979367,45.26211367
601,14371AJ,39.31327751,48.52985462
602,14431AJ,40.42,49.84
603,14571AJ,40.39160285,49.86525526
604,14598AJ,41.034431,47.032615
605,14603AJ,41.07969,46.74134
606,15220AJ,38.7389,48.59481
607,15284AJ,40.4111967,49.84400016
608,15587AJ,41.55684,46.86823
609,18274AJ,40.38344,49.893226
610,20631AJ,40.66981,46.371043
611,15684AJ,40.89675,47.72075
612,15696AJ,40.40902707,49.84585778
613,15756AJ,40.40414238,49.86133625
614,19406BF,24.70564,-78.04446
615,15741BF,25.03685008,-77.37954381
616,10566BF,25.04392894,-77.37602852
617,11140BF,25.04328269,-77.37707861
618,19206BF,25.04667967,-77.28041687
619,19007BF,25.03756609,-77.32968543
620,11942BF,25.032235,-77.296507
