,ID3ROG3,Language,BibleStatus,Speakers,masonpop,masonresid,masonscore,Latitude,Longitude
151,15385CF,Teke-Tsaayi,1,253094,1.010536606,0.010536606,0.005295381,-3.05424,13.82251
152,19048CF,Ngundi,1,20794,1.000865297,0.000865297,0.000434219,1.64482,16.12792
153,19792CF,Teke-Laali,1,3893,1.00016166,0.00016166,8.05E-05,-3.29575,13.27182
154,10490CG,Aushi,1,631290,1.02628198,0.02628198,0.013209594,-11.92123,28.56722
155,10631CG,Bamwe,1,62515,1.002602261,0.002602261,0.001307282,2.28101,19.17809
156,10788CG,Bendi,1,78596,1.003271758,0.003271758,0.001643797,2.20229,30.36789
157,10867CG,Libinza,1,28775,1.001197569,0.001197569,0.000601231,1.82576,18.87067
158,10898CG,Bomboma,1,72022,1.002998064,0.002998064,0.001506228,2.41659,18.79021
159,10921CG,Bolondo,1,9394,1.000390683,0.000390683,0.00019566,2.44909,19.61989
160,10924CG,Boma,1,40159,1.001671517,0.001671517,0.000839455,3.55719,23.03435
161,10926CG,Bomboli,1,7195,1.000299132,0.000299132,0.000149643,1.97866,18.51529
162,10982CG,Bwela,1,15422,1.000641645,0.000641645,0.000321803,-1.63062,26.45082
163,11024CG,Buraka,1,5879,1.000244343,0.000244343,0.000122105,4.39405,20.70048
164,11054CG,Bozaba,1,17227,1.000716793,0.000716793,0.000359575,2.09667,18.66974
165,11063CG,Bwile,1,131874,1.005489873,0.005489873,0.002758704,-7.77249,29.07515
166,11221CG,Foma,1,25166,1.001047316,0.001047316,0.000525709,0.88118,24.33802
167,11669CG,Dzando,1,18790,1.000781865,0.000781865,0.000392283,2.231,19.01055
168,11841CG,Gbanziri,1,29563,1.001230375,0.001230375,0.000617721,4.572230584,20.23162154
169,11848CG,Yango,1,8635,1.000359083,0.000359083,0.000179777,2.81787,19.00988
170,11863CG,Ligenza,1,123739,1.00515119,0.00515119,0.002588469,2.82634,22.57228
171,11893CG,Gilima,1,36547,1.001521139,0.001521139,0.00076387,4.52829,19.01328
172,12398CG,Kabwari,1,15454,1.000642978,0.000642978,0.000322473,-4.33837,29.17663
173,12492CG,Kango,1,10963,1.000456005,0.000456005,0.000228493,1.59855,27.01864
174,12825CG,Kpala,1,8635,1.000359083,0.000359083,0.000179777,4.50473,20.26346
175,12886CG,Kusu,1,138195,1.005753034,0.005753034,0.002890979,-3.63819,25.14139
176,12984CG,Langbashe,1,66868,1.002783489,0.002783489,0.001398374,4.572578882,20.22983514
177,13060CG,Likila,1,15427,1.000641854,0.000641854,0.000321908,1.74448,19.01121
178,13106CG,Lonzo,1,525,1.000021441,2.14E-05,1.01E-05,-4.59492,16.74111
179,13181CG,Mabaale,1,78058,1.00324936,0.00324936,0.001632538,2.11942,20.87586
180,13268CG,Ndaka,1,55107,1.002293845,0.002293845,0.001152261,1.52682,28.01053
181,13282CG,Ndobo,1,19033,1.000791982,0.000791982,0.000397368,1.2599,18.52746
182,13295CG,Ndunga,1,9360,1.000389267,0.000389267,0.000194949,2.38715,21.57657
183,13374CG,Ngundu,1,9380,1.0003901,0.0003901,0.000195367,-0.22418,26.86844
184,13627CG,Mbesa,1,15335,1.000638023,0.000638023,0.000319983,1.60677,22.80819
185,13768CG,Moingi,1,7806,1.00032457,0.00032457,0.000162429,1.2116,23.50375
186,13792CG,Monzombo,1,33527,1.001395408,0.001395408,0.000700673,2.94402,18.50358
187,14282CG,Pambia,1,67616,1.00281463,0.00281463,0.001414027,3.739,26.61
188,14353CG,Pelende,1,15660,1.000651554,0.000651554,0.000326784,-4.8977,17.31826
189,14990CG,Songo,1,257856,1.010734862,0.010734862,0.005395031,-4.58433,18.31516
190,15977CG,Yamongeri,1,24084,1.001002269,0.001002269,0.000503066,-0.24248,22.3073
191,16017CG,Yela,1,123551,1.005143363,0.005143363,0.002584535,-2.36262,22.64432
192,16070CG,Yulu,1,20131,1.000837694,0.000837694,0.000420345,4.83097,24.50653
193,19058CG,Seba,1,310368,1.012921085,0.012921085,0.006493909,-11.84252,27.49013
194,19168CG,Baloi,1,37169,1.001547035,0.001547035,0.000776886,0.93591,18.11706
195,19404CG,Tembo,1,345026,1.014363997,0.014363997,0.00721917,2.13606,19.8509
196,19590CG,Babango,1,4787,1.00019888,0.00019888,9.93E-05,1.88925,23.58284
197,20051CG,Mbo,1,24245,1.001008972,0.001008972,0.000506436,1.02864,28.03976
198,21459CG,Nzadi,1,4586,1.000190512,0.000190512,9.50E-05,-4.267547,19.772839
199,21984CG,Zula,1,26585,1.001106393,0.001106393,0.000555403,-4.431,26.67
200,10195CH,Ai-Cham,1,3142,1.000130394,0.000130394,6.48E-05,25.48886,107.83808
