,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,ID3ROG3
90,19007,AL,sqk,0,Albanian Sign Language,Albanian Sign Language,P,14324,2,NA,N,1,NA,NA,NA,N,N,NA,6,Islam,19007AL
91,13809,AM,myv,0,Erzya,Erzya,P,503,10,3,N,4,NA,1824-2006,1821-1998,Y,N,NA,1,Christianity,13809AM
92,19007,AM,aen,0,Armenian Sign Language,Armenian Sign Language,P,14859,1,NA,N,3,NA,NA,2021,N,N,NA,1,Christianity,19007AM
93,13819,AN,ary,0,"Arabic, Moroccan Spoken","Arabic, Moroccan Spoken",P,540,27,1,Y,4,NA,2012,1902-1952,Y,Y,558,6,Islam,13819AN
94,10676,AO,xuu,0,Khwedam,Khwedam,P,318,5,5,N,3,NA,NA,2010,Y,Y,NA,4,Ethnic Religions,10676AO
95,10918,AO,blv,0,Kibala,Kibala,P,5440,1,4,N,2,NA,NA,NA,N,N,NA,1,Christianity,10918AO
96,11069,AO,kea,0,Kabuverdianu,Kabuverdianu,P,81651,18,4,N,3,NA,NA,1936-2013,Y,Y,NA,1,Christianity,11069AO
97,11545,AO,dhm,0,Dhimba,Dhimba,P,33261,2,5,N,4,NA,2010-2013,1970-1984,N,Y,471,1,Christianity,11545AO
98,11852,AO,diu,0,Gciriku,Gciriku,P,25578,3,5,N,4,NA,1988,1979-1985,N,Y,NA,1,Christianity,11852AO
99,12116,AO,hol,10683,Holu,Holu: Yeci,P,57304,2,4,N,3,NA,NA,1943-1956,N,Y,NA,1,Christianity,12116AO
100,12856,AO,knw,0,Kung-Ekoka,Kung-Ekoka,P,7884,4,2,N,3,NA,NA,1975-1980,N,Y,NA,4,Ethnic Religions,12856AO
101,12857,AO,ktz,0,Ju'hoan,Ju'hoan,P,10490,3,4,N,4,NA,2008,1974,N,Y,NA,4,Ethnic Religions,12857AO
102,12962,AO,ldi,0,Laari,Laari,P,5573,2,5,N,4,NA,2007-2009,Yes,Y,Y,NA,1,Christianity,12962AO
103,13146,AO,lum,0,Luimbi,Luimbi,P,114593,1,5,N,3,NA,NA,1935-1939,N,Y,NA,1,Christianity,13146AO
104,13167,AO,lwa,0,Lwalu,Lwalu,P,26017,2,4,N,2,NA,NA,NA,N,N,NA,1,Christianity,13167AO
105,13287,AO,ndq,0,Ndombe,Ndombe,P,52514,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions,13287AO
106,13339,AO,nne,0,Ngandjera,Ngandjera,P,31500,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity,13339AO
107,13414,AO,nkn,0,Nkangala,Nkangala,P,55322,1,4,N,2,NA,NA,NA,N,N,NA,4,Ethnic Religions,13414AO
108,13417,AO,khu,0,Nkumbi,Nkumbi,P,748303,1,3,N,4,NA,2019,1985-1987,N,Y,NA,1,Christianity,13417AO
109,13426,AO,sie,0,Simaa,Simaa,P,3902,5,5,N,3,NA,NA,2016,Y,Y,NA,4,Ethnic Religions,13426AO
110,13454,AO,vaj,0,Northwestern Kung,Northwestern Kung,P,14462,3,2,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions,13454AO
111,13569,AO,mho,13824,Mashi,Mashi: North Kwandu,P,5259,3,5,N,3,NA,NA,2013,Y,Y,NA,4,Ethnic Religions,13569AO
112,13617,AO,mxg,0,Mbangala,Mbangala,P,NA,1,2,N,3,NA,NA,Yes,N,N,NA,4,Ethnic Religions,13617AO
113,13639,AO,mhw,0,Mbukushu,Mbukushu,P,15753,4,4,N,4,NA,1986-1993,1976-1986,Y,Y,NA,1,Christianity,13639AO
114,14084,AO,nyk,0,Nyaneka,Nyaneka,P,1136870,1,4,N,4,NA,2005-2018,Yes,Y,Y,NA,1,Christianity,14084AO
115,14092,AO,nba,0,Nyemba,Nyemba,P,1069795,2,3,N,3,NA,NA,1927-1983,N,Y,NA,1,Christianity,14092AO
116,14093,AO,nye,0,Nyengo,Nyengo,P,25547,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions,14093AO
117,14681,AO,hgm,10523,Haiom,Haiom: Kedi,P,1730,3,4,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions,14681AO
118,15109,AO,sub,0,Suku,Suku,P,39028,2,5,N,3,NA,NA,1973-1977,N,N,NA,1,Christianity,15109AO
119,15953,AO,yaf,0,Yaka,Yaka,P,522074,2,5,N,3,NA,NA,1938-1973,Y,Y,NA,1,Christianity,15953AO
120,16005,AO,yax,0,Yauma,Yauma,P,44637,2,4,N,3,NA,NA,1978,N,Y,NA,1,Christianity,16005AO
121,16051,AO,yom,0,Yombe,Yombe,P,84176,3,5,N,4,NA,2002-2005,Yes,Y,Y,yom,1,Christianity,16051AO
122,19052,AO,nsx,0,Songo,Songo,P,233660,1,5,N,4,NA,2021,1936-1999,N,N,NA,1,Christianity,19052AO
123,20990,AO,olu,0,Kuvale,Kuvale,P,98105,1,5,N,3,NA,NA,2021,Y,N,NA,1,Christianity,20990AO
124,21063,AO,nql,0,Ngendelengo,Ngendelengo,P,1402,1,5,N,1,NA,NA,NA,N,N,NA,1,Christianity,21063AO
125,21064,AO,xdo,0,Kwandu,Kwandu,P,8408,1,5,N,3,NA,NA,2016,N,N,NA,1,Christianity,21064AO
126,21580,AO,pnd,0,Mpinda,Mpinda,P,34145,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions,21580AO
127,21843,AO,hng,0,Hungu,Hungu,P,909496,1,5,N,1,NA,NA,NA,N,N,NA,1,Christianity,21843AO
128,15535,AQ,tkl,0,Tokelauan,Tokelauan,P,86,3,4,N,4,NA,2003-2009,2000,N,Y,NA,1,Christianity,15535AQ
129,11069,AR,kea,0,Kabuverdianu,Kabuverdianu,P,NA,18,4,N,3,NA,NA,1936-2013,Y,Y,NA,1,Christianity,11069AR
130,11369,AR,crt,0,"Chorote, Iyojwa'ja","Chorote, Iyojwa'ja",P,943,1,4,N,4,NA,1994-1997,1961-1993,N,Y,371,1,Christianity,11369AR
131,11370,AR,crq,0,"Chorote, Iyo'wujwa","Chorote, Iyo'wujwa",P,1771,2,5,N,4,NA,2015,1995-2011,N,Y,NA,1,Christianity,11370AR
132,12432,AR,kgk,0,Kaiwa,Kaiwa,P,NA,2,5,N,4,NA,1986-2006,1966-2002,Y,Y,611,1,Christianity,12432AR
133,13526,AR,arn,0,Mapudungun,Mapudungun,P,NA,3,5,N,4,NA,1997-2011,1901-1930,Y,Y,355,1,Christianity,13526AR
134,13756,AR,moc,0,Mocovi,Mocovi,P,25575,1,4,N,4,NA,1988,1976-1992,N,Y,332,1,Christianity,13756AR
135,13961,AR,mtp,0,Weenhayek,Weenhayek,P,47278,2,5,N,4,NA,1997-2006,1980,N,Y,560,1,Christianity,13961AR
136,14276,AR,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,1189,38,1,Y,3,NA,NA,1940-1946,Y,Y,NA,6,Islam,14276AR
137,14391,AR,plg,0,Pilaga,Pilaga,P,5783,2,5,N,4,NA,1993,1938-1978,N,Y,482,1,Christianity,14391AR
138,14744,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,65464,2,3,N,3,NA,NA,1978-1990,N,Y,NA,1,Christianity,14744AR
139,15152,AR,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,1508716,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam,15152AR
140,15265,AR,tpj,0,Nandeva,Nandeva,P,586,3,4,N,3,NA,NA,2020,Y,Y,NA,1,Christianity,15265AR
141,15319,AR,arn,0,Mapudungun,Mapudungun,P,31130,3,5,N,4,NA,1997-2011,1901-1930,Y,Y,355,1,Christianity,15319AR
142,15780,AR,wlv,0,Wichi Lhamtes Vejoz,Wichi Lhamtes Vejoz,P,47278,1,4,N,4,NA,1962,1919-1989,N,Y,NA,1,Christianity,15780AR
143,19007,AR,aed,0,Argentine Sign Language,Argentine Sign Language,P,230038,1,NA,N,3,NA,NA,2019-2021,N,N,NA,1,Christianity,19007AR
144,22317,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,4821,2,3,N,3,NA,NA,1978-1990,N,Y,NA,1,Christianity,22317AR
145,10259,AS,aly,0,Alyawarr,Alyawarr,P,1603,1,5,N,3,NA,NA,1994-2013,N,Y,NA,1,Christianity,10259AS
146,10311,AS,aoi,0,Anindilyakwa,Anindilyakwa,P,1530,1,5,N,3,NA,NA,1976-1995,N,Y,NA,1,Christianity,10311AS
147,10330,AS,rme,0,Angloromani,Angloromani,P,6581,5,5,N,3,NA,NA,1874-1995,N,N,1421,1,Christianity,10330AS
148,10334,AS,amx,0,Anmatyerre,Anmatyerre,P,662,1,5,N,3,NA,NA,2007,N,N,NA,1,Christianity,10334AS
149,10991,AS,pkp,0,Pukapuka,Pukapuka,P,1463,3,4,N,2,NA,NA,NA,N,N,NA,1,Christianity,10991AS
150,11026,AS,bvr,0,Burarra,Burarra,P,1086,1,5,N,4,NA,1991-2008,1972-1980,N,Y,1291,1,Christianity,11026AS
151,11201,AS,hif,0,"Hindi, Fiji","Hindi, Fiji",P,2803,3,5,N,4,NA,2002,Yes,Y,Y,NA,5,Hinduism,11201AS
152,11268,AS,kux,0,Kukatja,Kukatja,P,134,1,2,N,3,NA,NA,1976,N,N,NA,4,Ethnic Religions,11268AS
153,11359,AS,rhg,0,Rohingya,Rohingya,P,2328,9,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam,11359AS
154,11399,AS,coa,0,"Malay, Cocos Islands","Malay, Cocos Islands",P,1315,3,1,Y,1,NA,NA,NA,N,N,NA,6,Islam,11399AS
155,11543,AS,dhg,0,Dhangu-Djangu,Dhangu-Djangu,P,NA,1,5,N,3,NA,NA,1977-2015,N,Y,1374,4,Ethnic Religions,11543AS
156,11574,AS,djr,0,Djambarrpuyngu,Djambarrpuyngu,P,4427,1,5,N,4,NA,2008,1977–2006,N,Y,244,4,Ethnic Religions,11574AS
157,11577,AS,djj,0,Djeebbana,Djeebbana,P,186,1,4,N,2,NA,NA,NA,N,N,NA,4,Ethnic Religions,11577AS
158,11578,AS,dji,0,Djinang,Djinang,P,NA,1,5,N,3,NA,NA,1985-1987,N,N,NA,4,Ethnic Religions,11578AS
159,11579,AS,djb,0,Djinba,Djinba,P,73,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions,11579AS
160,11683,AS,aer,0,"Arrernte, Eastern","Arrernte, Eastern",P,3025,1,2,N,4,NA,2016-2017,Yes,N,Y,aer,4,Ethnic Religions,11683AS
161,11722,AS,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,49211,39,4,N,4,NA,2012,1905-2007,Y,Y,NA,6,Islam,11722AS
162,11801,AS,gbb,0,Kaytetye,Kaytetye,P,123,1,5,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions,11801AS
163,11824,AS,wrk,0,Garrwa,Garrwa,P,109,1,5,N,3,NA,NA,1976-1991,N,Y,1372,4,Ethnic Religions,11824AS
164,11974,AS,gvn,0,Kuku-Yalanji,Kuku-Yalanji,P,332,1,5,N,4,NA,1985,1967,N,Y,gvn,4,Ethnic Religions,11974AS
165,11991,AS,gnn,0,Gumatj,Gumatj,P,NA,1,4,N,4,NA,1985,1977-1979,N,Y,NA,4,Ethnic Religions,11991AS
166,11994,AS,gup,0,Gunwinggu,Gunwinggu,P,NA,3,5,N,4,NA,2018,1942-1993,N,Y,NA,1,Christianity,11994AS
167,11998,AS,gup,0,Gunwinggu,Gunwinggu,P,NA,3,5,N,4,NA,2018,1942-1993,N,Y,NA,1,Christianity,11998AS
168,11999,AS,guf,0,Gupapuyngu,Gupapuyngu,P,NA,1,5,N,3,NA,NA,1967-1977,N,Y,NA,1,Christianity,11999AS
169,12003,AS,gue,0,Gurindji,Gurindji,P,425,1,5,N,3,NA,NA,1981-1986,N,Y,NA,4,Ethnic Religions,12003AS
170,12076,AS,haz,0,Hazaragi,Hazaragi,P,22543,9,1,Y,3,NA,NA,2008-2015,Y,Y,NA,6,Islam,12076AS
171,12213,AS,mfe,0,Morisyen,Morisyen,P,24587,10,5,N,4,NA,2009-2010,1885-2016,Y,Y,344,5,Hinduism,12213AS
172,12247,AS,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,71109,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam,12247AS
173,12296,AS,ibd,0,Iwaidja,Iwaidja,P,123,1,4,N,3,NA,NA,1981,N,Y,NA,4,Ethnic Religions,12296AS
