Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea-Bissau,GNB,0,0.230103171,2.893990621,3.1,3.32,6.1,13.8,14.8,15.7,19.4,22.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guyana,GUY,0,0.6,30.5,31,32,34,35.66,37.32583679,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Haiti,HTI,0,0.231270715,9.8,10.6,11.4,14.2,22.8,27.2,32.47362713,33.3,34.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Honduras,HND,0,1.203855999,18.12,17.8,23,27.1,29.5,31.7,36,39.38835219,42.05,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Hong Kong SAR, China",HKG,0,27.82776068,72.9,74.2,79.86627043,84.94835296,87.47941467,89.41594465,90.50739533,91.74340039,92.41313602,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Hungary,HUN,0,6.999676351,70.57999815,72.6439,75.65319745,72.83473703,79.25941213,76.75054712,76.07436064,80.37169361,84.77115202,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,0,44.47053382,96.20979955,96.5468,98.16,98.2,98.2400163,98.25520119,99.01095399,99,99,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,0,0.52753245,11.1,12.3,13.5,14.9,16.5,18.2,20.08130004,29.4,43,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,0,0.925563864,14.52,14.94,17.14,22.0627426,25.4473537,32.33580625,39.90463864,47.69064898,53.72649449,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,0,0.93419002,22.73,29.95,39.35,45.33497615,53.22677167,64.04397362,70.200565,77.77083846,84.11087002,..
