,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
104,13526AR,-39.47971,-70.41878,13526,AR,arn,0,Mapudungun,Mapudungun,P,NA,3,5,N,4,NA,1997-2011,1901-1930,Y,Y,355,1,Christianity
105,13756AR,-28.1755,-60.44291,13756,AR,moc,0,Mocovi,Mocovi,P,25575,1,4,N,4,NA,1988,1976-1992,N,Y,332,1,Christianity
106,14391AR,-24.87574,-60.23159,14391,AR,plg,0,Pilaga,Pilaga,P,5783,2,5,N,4,NA,1993,1938-1978,N,Y,482,1,Christianity
107,14744AR,-27.75079,-63.21644,14744,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,65464,2,3,N,3,NA,NA,1978-1990,N,Y,NA,1,Christianity
108,15265AR,-22.57862,-63.64065,15265,AR,tpj,0,Nandeva,Nandeva,P,586,3,4,N,3,NA,NA,2020,Y,Y,NA,1,Christianity
109,15319AR,-47.6214,-68.25845,15319,AR,arn,0,Mapudungun,Mapudungun,P,31130,3,5,N,4,NA,1997-2011,1901-1930,Y,Y,355,1,Christianity
110,22317AR,-27.93,-64.08,22317,AR,qus,0,"Quichua, Santiago del Estero","Quichua, Santiago del Estero",P,4821,2,3,N,3,NA,NA,1978-1990,N,Y,NA,1,Christianity
111,15780AR,-24.32999,-62.13909,15780,AR,wlv,0,Wichi Lhamtes Vejoz,Wichi Lhamtes Vejoz,P,47278,1,4,N,4,NA,1962,1919-1989,N,Y,NA,1,Christianity
112,13961AR,-22.30975,-63.89222,13961,AR,mtp,0,Weenhayek,Weenhayek,P,47278,2,5,N,4,NA,1997-2006,1980,N,Y,560,1,Christianity
113,19007AM,40.10023,44.47668,19007,AM,aen,0,Armenian Sign Language,Armenian Sign Language,P,14859,1,NA,N,3,NA,NA,2021,N,N,NA,1,Christianity
114,13809AM,40.168,44.52,13809,AM,myv,0,Erzya,Erzya,P,503,10,3,N,4,NA,1824-2006,1821-1998,Y,N,NA,1,Christianity
115,12316AA,12.534573,-70.02045,12316,AA,jam,0,Jamaican English Creole,Jamaican English Creole,P,587,11,5,N,4,NA,2012,Yes,Y,Y,476,1,Christianity
116,10259AS,-21.04266,136.83489,10259,AS,aly,0,Alyawarr,Alyawarr,P,1603,1,5,N,3,NA,NA,1994-2013,N,Y,NA,1,Christianity
117,10311AS,-13.99904,136.6415,10311,AS,aoi,0,Anindilyakwa,Anindilyakwa,P,1530,1,5,N,3,NA,NA,1976-1995,N,Y,NA,1,Christianity
118,10330AS,-33.1842,116.26259,10330,AS,rme,0,Angloromani,Angloromani,P,6581,5,5,N,3,NA,NA,1874-1995,N,N,1421,1,Christianity
119,10334AS,-22.22145,133.30669,10334,AS,amx,0,Anmatyerre,Anmatyerre,P,662,1,5,N,3,NA,NA,2007,N,N,NA,1,Christianity
120,11722AS,-31.9554,115.85859,11722,AS,arz,0,"Arabic, Egyptian Spoken","Arabic, Egyptian Spoken",P,49211,39,4,N,4,NA,2012,1905-2007,Y,Y,NA,6,Islam
121,19204AS,-33.8678,151.2078,19204,AS,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,71016,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam
122,12247AS,-37.812986,144.886962,12247,AS,acm,0,"Arabic, Mesopotamian Spoken","Arabic, Mesopotamian Spoken",P,71109,31,1,Y,4,NA,2005,Yes,Y,Y,NA,6,Islam
123,15104AS,-37.767235,144.96448,15104,AS,apd,0,"Arabic, Sudanese Spoken","Arabic, Sudanese Spoken",P,37157,80,1,Y,4,NA,1978-2005,1927-1964,Y,Y,NA,6,Islam
124,15154AS,-33.8672,151.207114,15154,AS,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,83039,38,1,Y,3,NA,NA,1940-1946,Y,Y,NA,6,Islam
125,11683AS,-23.35801,135.0487,11683,AS,aer,0,"Arrernte, Eastern","Arrernte, Eastern",P,3025,1,2,N,4,NA,2016-2017,Yes,N,Y,aer,4,Ethnic Religions
126,11026AS,-12.28718,134.31561,11026,AS,bvr,0,Burarra,Burarra,P,1086,1,5,N,4,NA,1991-2008,1972-1980,N,Y,1291,1,Christianity
127,19007AS,-33.91159742,151.1808794,19007,AS,asf,0,Auslan,Auslan,P,NA,1,NA,N,3,NA,NA,1999-2002,Y,N,NA,1,Christianity
128,11543AS,-11.91093,135.80843,11543,AS,dhg,0,Dhangu-Djangu,Dhangu-Djangu,P,NA,1,5,N,3,NA,NA,1977-2015,N,Y,1374,4,Ethnic Religions
129,20971AS,-14.826832,135.031477,20971,AS,dwu,0,Dhuwal,Dhuwal,P,337,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
130,20992AS,-12.255,136.8912,20992,AS,dwy,0,Dhuwaya,Dhuwaya,P,536,1,5,N,3,NA,NA,2019,N,Y,NA,1,Christianity
131,11574AS,-12.02098,135.59014,11574,AS,djr,0,Djambarrpuyngu,Djambarrpuyngu,P,4427,1,5,N,4,NA,2008,1977–2006,N,Y,244,4,Ethnic Religions
132,11577AS,-12.02861,134.10939,11577,AS,djj,0,Djeebbana,Djeebbana,P,186,1,4,N,2,NA,NA,NA,N,N,NA,4,Ethnic Religions
133,11578AS,-12.47145,134.84589,11578,AS,dji,0,Djinang,Djinang,P,NA,1,5,N,3,NA,NA,1985-1987,N,N,NA,4,Ethnic Religions
134,11579AS,-12.95169,134.9219,11579,AS,djb,0,Djinba,Djinba,P,73,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
135,11201AS,-37.85,145.25,11201,AS,hif,0,"Hindi, Fiji","Hindi, Fiji",P,2803,3,5,N,4,NA,2002,Yes,Y,Y,NA,5,Hinduism
136,11801AS,-21.50813,133.71023,11801,AS,gbb,0,Kaytetye,Kaytetye,P,123,1,5,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
137,11824AS,-17.20783,137.63048,11824,AS,wrk,0,Garrwa,Garrwa,P,109,1,5,N,3,NA,NA,1976-1991,N,Y,1372,4,Ethnic Religions
138,20621AS,-15.297183,145.113757,20621,AS,kky,0,Guugu Yimidhirr,Guugu Yimidhirr,P,807,1,4,N,3,NA,NA,1940,N,Y,NA,4,Ethnic Religions
139,11991AS,-12.25534,136.82386,11991,AS,gnn,0,Gumatj,Gumatj,P,NA,1,4,N,4,NA,1985,1977-1979,N,Y,NA,4,Ethnic Religions
140,11998AS,-12.33983,133.35778,11998,AS,gup,0,Gunwinggu,Gunwinggu,P,NA,3,5,N,4,NA,2018,1942-1993,N,Y,NA,1,Christianity
141,11999AS,-12.19272,135.32979,11999,AS,guf,0,Gupapuyngu,Gupapuyngu,P,NA,1,5,N,3,NA,NA,1967-1977,N,Y,NA,1,Christianity
142,21564AS,-12.298,134.262,21564,AS,gge,0,Gurr-goni,Gurr-goni,P,49,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
143,20991AS,-17.4378,130.8316,20991,AS,gjr,0,Gurindji Kriol,Gurindji Kriol,P,1071,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
144,12003AS,-17.0598,130.36509,12003,AS,gue,0,Gurindji,Gurindji,P,425,1,5,N,3,NA,NA,1981-1986,N,Y,NA,4,Ethnic Religions
145,12076AS,-27.633275,153.127326,12076,AS,haz,0,Hazaragi,Hazaragi,P,22543,9,1,Y,3,NA,NA,2008-2015,Y,Y,NA,6,Islam
146,12296AS,-11.51794,132.58238,12296,AS,ibd,0,Iwaidja,Iwaidja,P,123,1,4,N,3,NA,NA,1981,N,Y,NA,4,Ethnic Religions
147,12347AS,-33.867139,151.2072,12347,AS,heb,0,Hebrew,Hebrew,S,NA,11,1,Y,4,NA,2010,1477-2010,Y,Y,380,4,Ethnic Religions
148,12725AS,-17.49287,127.42663,12725,AS,gia,0,Kija,Kija,P,176,1,5,N,3,NA,NA,1978,N,Y,NA,4,Ethnic Religions
149,11268AS,-20.29658,127.70093,11268,AS,kux,0,Kukatja,Kukatja,P,134,1,2,N,3,NA,NA,1976,N,N,NA,4,Ethnic Religions
150,11974AS,-16.04554,145.16704,11974,AS,gvn,0,Kuku-Yalanji,Kuku-Yalanji,P,332,1,5,N,4,NA,1985,1967,N,Y,gvn,4,Ethnic Religions
151,21563AS,-29.67174,152.9384,21563,AS,kgs,0,Kumbainggar,Kumbainggar,P,93,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
152,11994AS,-11.92057,133.7584,11994,AS,gup,0,Gunwinggu,Gunwinggu,P,NA,3,5,N,4,NA,2018,1942-1993,N,Y,NA,1,Christianity
